motif_DB	motif_ID	seq_ID	FASTA_score	PWM_score	class
motifs.meme	9	WBGene00012476	1402	6846.93	fp
motifs.meme	9	WBGene00011537	832	333.435	fp
motifs.meme	9	WBGene00017950	2347	218.347	fp
motifs.meme	9	WBGene00021083	3128	218.277	fp
motifs.meme	9	WBGene00016210	2417	218.175	fp
motifs.meme	9	WBGene00017438	2306	218.149	fp
motifs.meme	9	WBGene00011914	3599	218.097	fp
motifs.meme	9	WBGene00012970	4193	214.775	fp
motifs.meme	9	WBGene00010780	3610	214.31	fp
motifs.meme	9	WBGene00019615	2900	214.309	fp
motifs.meme	9	WBGene00018431	3667	214.244	fp
motifs.meme	9	WBGene00018969	2269	141.696	fp
motifs.meme	9	WBGene00015194	1318	125.782	fp
motifs.meme	9	WBGene00009865	4137	122.958	fp
motifs.meme	9	WBGene00008432	50	119.51	tp
motifs.meme	9	WBGene00017979	2922	119.426	fp
motifs.meme	9	WBGene00017302	2759	119.356	fp
motifs.meme	9	WBGene00013860	2266	119.342	fp
motifs.meme	9	WBGene00012942	2299	119.33	fp
motifs.meme	9	WBGene00011640	4555	119.325	fp
motifs.meme	9	WBGene00019293	3240	119.313	fp
motifs.meme	9	WBGene00018403	911	119.284	fp
motifs.meme	9	WBGene00021544	1724	119.251	fp
motifs.meme	9	WBGene00008521	2663	119.21	fp
motifs.meme	9	WBGene00018655	4636	119.206	fp
motifs.meme	9	WBGene00045336	729	119.196	fp
motifs.meme	9	WBGene00019782	4689	119.152	fp
motifs.meme	9	WBGene00013856	194	119.149	tp
motifs.meme	9	WBGene00019211	1962	119.144	fp
motifs.meme	9	WBGene00015137	2250	119.143	fp
motifs.meme	9	WBGene00016148	3728	119.142	fp
motifs.meme	9	WBGene00011082	84	119.14	tp
motifs.meme	9	WBGene00014258	1385	119.113	fp
motifs.meme	9	WBGene00022194	2525	119.082	fp
motifs.meme	9	WBGene00017598	2000	119.08	fp
motifs.meme	9	WBGene00008453	42	119.08	tp
motifs.meme	9	WBGene00020377	4434	119.076	fp
motifs.meme	9	WBGene00022386	700	22.5708	fp
motifs.meme	9	WBGene00022679	2559	18.2251	fp
motifs.meme	9	WBGene00008288	1029	15.5504	fp
motifs.meme	9	WBGene00007938	26	12.5474	tp
motifs.meme	9	WBGene00011723	101	10.6818	tp
motifs.meme	9	WBGene00019623	4293	9.65993	fp
motifs.meme	9	WBGene00013418	3792	9.52845	fp
motifs.meme	9	WBGene00008395	2668	8.81692	fp
motifs.meme	9	WBGene00007823	19	8.78133	tp
motifs.meme	9	WBGene00009733	1103	7.51975	fp
motifs.meme	9	WBGene00011581	4521	7.45409	fp
motifs.meme	9	WBGene00012883	4590	7.00715	fp
motifs.meme	9	WBGene00007349	2643	6.99241	fp
motifs.meme	9	WBGene00020772	588	6.89693	fp
motifs.meme	9	WBGene00015714	581	6.77099	fp
motifs.meme	9	WBGene00017906	658	6.75233	fp
motifs.meme	9	WBGene00008744	4178	6.71552	fp
motifs.meme	9	WBGene00008412	3471	6.71441	fp
motifs.meme	9	WBGene00022376	3997	6.7078	fp
motifs.meme	9	WBGene00019153	1499	6.70385	fp
motifs.meme	9	WBGene00010828	3501	6.12138	fp
