motif_DB	motif_ID	seq_ID	FASTA_score	PWM_score	class
motifs.meme	35	WBGene00041059	166	898.479	tp
motifs.meme	35	WBGene00031287	95	525.944	tp
motifs.meme	35	WBGene00023852	1858	525.444	fp
motifs.meme	35	WBGene00041864	1824	32.3047	fp
motifs.meme	35	WBGene00037850	183	32.2997	tp
motifs.meme	35	WBGene00034832	2054	28.0859	fp
motifs.meme	35	WBGene00034065	1992	27.6249	fp
motifs.meme	35	WBGene00042504	170	27.6142	tp
#
motifs.meme	49	WBGene00025645	4512	307.583	fp
motifs.meme	49	WBGene00039692	418	307.288	fp
motifs.meme	49	WBGene00034103	4294	185.227	fp
motifs.meme	49	WBGene00023712	4139	180.058	fp
motifs.meme	49	WBGene00035320	1344	179.805	fp
motifs.meme	49	WBGene00031409	3914	179.711	fp
motifs.meme	49	WBGene00030878	2775	179.71	fp
motifs.meme	49	WBGene00024832	2234	179.71	fp
motifs.meme	49	WBGene00033654	2417	179.71	fp
motifs.meme	49	WBGene00029919	4302	179.708	fp
motifs.meme	49	WBGene00027843	1685	179.707	fp
motifs.meme	49	WBGene00029360	2728	179.707	fp
motifs.meme	49	WBGene00025864	2268	179.705	fp
motifs.meme	49	WBGene00036132	1036	11.0542	fp
motifs.meme	49	WBGene00030413	999	11.0469	fp
motifs.meme	49	WBGene00025224	1881	9.5529	fp
motifs.meme	49	WBGene00027561	3329	9.51089	fp
motifs.meme	49	WBGene00038373	3713	9.50418	fp
motifs.meme	49	WBGene00036309	2530	9.50359	fp
motifs.meme	49	WBGene00040588	2613	9.4546	fp
motifs.meme	49	WBGene00088731	133	9.45217	tp
motifs.meme	49	WBGene00027943	583	9.44909	fp
motifs.meme	49	WBGene00088474	3256	9.44727	fp
motifs.meme	49	WBGene00040718	2879	9.44597	fp
motifs.meme	49	WBGene00033756	3909	9.4459	fp
motifs.meme	49	WBGene00037046	2474	9.44563	fp
motifs.meme	49	WBGene00028330	3643	9.44415	fp
motifs.meme	49	WBGene00027752	2726	8.76163	fp
motifs.meme	49	WBGene00028032	3181	5.70271	fp
motifs.meme	49	WBGene00037115	518	5.69666	fp
motifs.meme	49	WBGene00026089	249	5.69084	fp
motifs.meme	49	WBGene00036172	2854	5.68272	fp
motifs.meme	49	WBGene00027570	2716	5.63079	fp
motifs.meme	49	WBGene00041632	506	5.62524	fp
