motif_DB	motif_ID	seq_ID	FASTA_score	PWM_score	class
motifs.meme	5	WBGene00014826	382	108.75	tp
motifs.meme	5	WBGene00044389	4700	96.3893	fp
motifs.meme	5	WBGene00022145	4278	96.3888	fp
motifs.meme	5	WBGene00011326	183	85.9888	tp
motifs.meme	5	WBGene00009561	64	85.5831	tp
motifs.meme	5	WBGene00012664	347	56.0992	tp
motifs.meme	5	WBGene00015138	3726	55.9267	fp
motifs.meme	5	WBGene00022130	2928	54.9153	fp
motifs.meme	5	WBGene00012136	3769	54.909	fp
motifs.meme	5	WBGene00011738	3622	54.9071	fp
motifs.meme	5	WBGene00017277	3109	54.898	fp
motifs.meme	5	WBGene00007343	9	54.406	tp
motifs.meme	5	WBGene00219423	3380	54.3935	fp
motifs.meme	5	WBGene00017618	3093	54.3891	fp
motifs.meme	5	WBGene00022397	453	54.3786	tp
motifs.meme	5	WBGene00009660	2720	54.3771	fp
motifs.meme	5	WBGene00020510	2949	54.3699	fp
motifs.meme	5	WBGene00017037	1953	54.3594	fp
motifs.meme	5	WBGene00011640	4555	33.3357	fp
motifs.meme	5	WBGene00013227	2788	33.3209	fp
motifs.meme	5	WBGene00008649	3300	32.3492	fp
motifs.meme	5	WBGene00015131	270	31.7329	tp
motifs.meme	5	WBGene00017068	2419	31.2492	fp
motifs.meme	5	WBGene00011646	1008	31.2298	fp
motifs.meme	5	WBGene00010269	2724	31.2143	fp
motifs.meme	5	WBGene00008436	41	30.6957	tp
motifs.meme	5	WBGene00018300	2481	30.6906	fp
motifs.meme	5	WBGene00044144	551	30.6885	tp
motifs.meme	5	WBGene00016106	426	30.6874	tp
motifs.meme	5	WBGene00022664	2567	30.6853	fp
motifs.meme	5	WBGene00044019	2595	30.6839	fp
motifs.meme	5	WBGene00008008	1196	30.6835	fp
motifs.meme	5	WBGene00019697	4097	30.6762	fp
motifs.meme	5	WBGene00011266	2306	30.6754	fp
motifs.meme	5	WBGene00011263	184	30.6686	tp
motifs.meme	5	WBGene00022633	2598	30.6676	fp
motifs.meme	5	WBGene00019615	2900	30.6673	fp
motifs.meme	5	WBGene00010475	679	30.6669	fp
motifs.meme	5	WBGene00077539	1773	30.6579	fp
motifs.meme	5	WBGene00017853	4371	30.6568	fp
motifs.meme	5	WBGene00008528	1226	30.6565	fp
motifs.meme	5	WBGene00022047	512	30.6562	tp
motifs.meme	5	WBGene00022386	853	6.0575	fp
motifs.meme	5	WBGene00018762	3814	4.71249	fp
motifs.meme	5	WBGene00021213	526	4.22743	tp
motifs.meme	5	WBGene00010291	189	3.62141	tp
motifs.meme	5	WBGene00019601	4585	3.4043	fp
motifs.meme	5	WBGene00016805	2465	3.38507	fp
motifs.meme	5	WBGene00009027	2662	3.22129	fp
motifs.meme	5	WBGene00018719	2076	3.01944	fp
motifs.meme	5	WBGene00012989	337	2.99967	tp
motifs.meme	5	WBGene00010069	716	2.6813	fp
motifs.meme	5	WBGene00019009	2903	2.67861	fp
motifs.meme	5	WBGene00009158	104	2.24131	tp
motifs.meme	5	WBGene00016259	2445	2.03185	fp
motifs.meme	5	WBGene00018969	252	2.02057	tp
motifs.meme	5	WBGene00022396	567	1.96483	tp
motifs.meme	5	WBGene00016133	2741	1.94157	fp
motifs.meme	5	WBGene00013287	3073	1.93942	fp
motifs.meme	5	WBGene00013557	1414	1.92095	fp
motifs.meme	5	WBGene00013171	407	1.81783	tp
motifs.meme	5	WBGene00021732	2896	1.77562	fp
motifs.meme	5	WBGene00017438	289	1.75859	tp
motifs.meme	5	WBGene00015258	3079	1.7547	fp
motifs.meme	5	WBGene00018975	2101	1.73986	fp
motifs.meme	5	WBGene00007180	12	1.73899	tp
