motif_DB	motif_ID	seq_ID	FASTA_score	PWM_score	class
motifs.meme	15	WBGene00012475	4633	734.706	fp
motifs.meme	15	WBGene00044640	4374	380.427	fp
motifs.meme	15	WBGene00007202	697	380.34	fp
motifs.meme	15	WBGene00077548	3388	379.963	fp
motifs.meme	15	WBGene00009483	845	379.593	fp
motifs.meme	15	WBGene00015009	971	368.2	fp
motifs.meme	15	WBGene00015868	2907	367.962	fp
motifs.meme	15	WBGene00008119	714	367.779	fp
motifs.meme	15	WBGene00010498	792	367.748	fp
motifs.meme	15	WBGene00017010	1488	367.657	fp
motifs.meme	15	WBGene00011642	1075	367.582	fp
motifs.meme	15	WBGene00008299	3290	367.578	fp
motifs.meme	15	WBGene00020843	1225	367.575	fp
motifs.meme	15	WBGene00008666	2774	367.557	fp
motifs.meme	15	WBGene00020782	4043	367.53	fp
motifs.meme	15	WBGene00007104	471	367.388	fp
motifs.meme	15	WBGene00012243	3661	367.368	fp
motifs.meme	15	WBGene00020861	4379	367.367	fp
motifs.meme	15	WBGene00009973	3548	367.36	fp
motifs.meme	15	WBGene00011594	2401	367.355	fp
motifs.meme	15	WBGene00016106	2142	367.354	fp
motifs.meme	15	WBGene00077690	1606	367.353	fp
motifs.meme	15	WBGene00007411	4458	367.349	fp
motifs.meme	15	WBGene00014120	3818	367.348	fp
motifs.meme	15	WBGene00018270	3695	367.344	fp
motifs.meme	15	WBGene00022270	2990	367.343	fp
motifs.meme	15	WBGene00009237	2375	367.334	fp
motifs.meme	15	WBGene00010450	798	39.4804	fp
motifs.meme	15	WBGene00021968	109	37.8809	tp
motifs.meme	15	WBGene00012468	3899	25.8604	fp
motifs.meme	15	WBGene00021702	2184	25.4351	fp
motifs.meme	15	WBGene00021818	1216	25.2693	fp
motifs.meme	15	WBGene00018178	3368	25.2483	fp
motifs.meme	15	WBGene00013267	922	25.0573	fp
motifs.meme	15	WBGene00021131	4335	25.0436	fp
motifs.meme	15	WBGene00019219	1354	24.931	fp
motifs.meme	15	WBGene00019778	1184	24.8786	fp
motifs.meme	15	WBGene00022380	4036	24.8725	fp
motifs.meme	15	WBGene00013429	41	24.859	tp
motifs.meme	15	WBGene00011441	3584	24.8436	fp
motifs.meme	15	WBGene00022629	4024	24.8122	fp
motifs.meme	15	WBGene00021758	3964	24.8118	fp
motifs.meme	15	WBGene00017724	1278	24.8015	fp
motifs.meme	15	WBGene00001739	3292	24.6115	fp
motifs.meme	15	WBGene00015376	2480	24.6044	fp
motifs.meme	15	WBGene00008509	2392	24.6026	fp
motifs.meme	15	WBGene00010048	4167	24.4512	fp
motifs.meme	15	WBGene00014248	281	24.4384	fp
motifs.meme	15	WBGene00014170	3331	24.4382	fp
motifs.meme	15	WBGene00014169	4655	24.4373	fp
motifs.meme	15	WBGene00016799	1172	24.4314	fp
motifs.meme	15	WBGene00015207	3872	24.4247	fp
motifs.meme	15	WBGene00007530	4449	24.4227	fp
motifs.meme	15	WBGene00008883	26	24.4132	tp
motifs.meme	15	WBGene00021776	380	18.9232	fp
motifs.meme	15	WBGene00019409	3383	18.1206	fp
motifs.meme	15	WBGene00016700	2076	18.1026	fp
motifs.meme	15	WBGene00021796	388	17.9246	fp
motifs.meme	15	WBGene00018638	1399	17.9086	fp
motifs.meme	15	WBGene00010992	3335	17.9077	fp
motifs.meme	15	WBGene00013017	1063	14.1666	fp
motifs.meme	15	WBGene00012688	3329	13.9175	fp
motifs.meme	15	WBGene00010060	2433	13.8674	fp
motifs.meme	15	WBGene00010719	4207	13.8304	fp
motifs.meme	15	WBGene00022588	4676	13.811	fp
motifs.meme	15	WBGene00013587	4205	13.7214	fp
motifs.meme	15	WBGene00013761	1041	13.6669	fp
motifs.meme	15	WBGene00044203	4709	13.6299	fp
motifs.meme	15	WBGene00086559	631	13.5204	fp
motifs.meme	15	WBGene00007603	693	13.4861	fp
motifs.meme	15	WBGene00019461	4409	13.4828	fp
motifs.meme	15	WBGene00012858	1073	13.4601	fp
motifs.meme	15	WBGene00011200	4504	13.4528	fp
motifs.meme	15	WBGene00009565	3607	13.372	fp
motifs.meme	15	WBGene00012660	2943	13.3393	fp
motifs.meme	15	WBGene00021367	1476	13.272	fp
motifs.meme	15	WBGene00022490	3266	13.2588	fp
motifs.meme	15	WBGene00009189	3557	13.2374	fp
motifs.meme	15	WBGene00012459	1028	13.2356	fp
motifs.meme	15	WBGene00044530	4320	13.2238	fp
motifs.meme	15	WBGene00012131	2494	13.2121	fp
motifs.meme	15	WBGene00013040	1076	13.1773	fp
motifs.meme	15	WBGene00019973	386	13.0782	fp
motifs.meme	15	WBGene00008579	4141	13.0738	fp
motifs.meme	15	WBGene00013434	992	13.072	fp
motifs.meme	15	WBGene00021321	2676	13.0606	fp
motifs.meme	15	WBGene00013633	38	13.0599	tp
motifs.meme	15	WBGene00008222	2783	13.0592	fp
motifs.meme	15	WBGene00010724	1894	13.0514	fp
motifs.meme	15	WBGene00019315	4653	13.0512	fp
motifs.meme	15	WBGene00010972	1915	13.0506	fp
motifs.meme	15	WBGene00018840	627	13.0491	fp
motifs.meme	15	WBGene00010503	1842	13.0487	fp
motifs.meme	15	WBGene00015032	3328	13.0483	fp
motifs.meme	15	WBGene00010500	3500	13.0375	fp
motifs.meme	15	WBGene00015197	2077	13.0318	fp
motifs.meme	15	WBGene00011761	3642	13.0301	fp
motifs.meme	15	WBGene00018980	99	13.0282	tp
motifs.meme	15	WBGene00011431	1713	13.0232	fp
motifs.meme	15	WBGene00009986	3133	13.0232	fp
motifs.meme	15	WBGene00018336	3349	12.9794	fp
motifs.meme	15	WBGene00008134	2776	12.8925	fp
